,OPERATION NAME,ZIPCODE,VENDOR TYPE,LATITUDE,LONGITUDE
4601,PIERMONT MINI MART,10968,CONVENIENCE STORE,41.04911091,-73.92183013
4602,CANZONA MARKET,10968,CONVENIENCE STORE,41.03505899,-73.91971904
4603,PINE ISLAND DELI,10969,DELICATESSEN,41.295381,-74.46156096
4604,CITGO,10969,CONVENIENCE/GAS,41.32417386,-74.42611452
4605,CJ'S COUNTY MARKET,10969,CONVENIENCE STORE,41.29747098,-74.47640003
4606,COLONEL'S DELI,10970,DELICATESSEN,41.19378592,-74.01341028
4607,WALLY MART,10970,CONVENIENCE/GAS,41.186588,-74.03426302
4608,MT. IVY COUNTRY CORNER (SHELL),10970,CONVENIENCE/GAS,41.18619401,-74.03564998
4609,STOP & SHOP #533,10970,GROCERY SUPERMARKET,41.182331,-74.04631603
4610,ISHANI STATIONERY,10970,STATIONERY STORE,41.189334,-74.03728
4611,HOMETOWN DELI (VALERO),10973,CONVENIENCE/GAS,41.39799469,-74.46136613
4612,PERINO'S MARKET,10973,DELICATESSEN,41.38733299,-74.50652199
4613,RT DISCOUNT MART,10973,DELICATESSEN,41.39338502,-74.46435197
4614,ROUTE 6 EXPRESS INC.,10973,CONVENIENCE STORE,41.40006301,-74.45727898
4615,STONE MEADOW INN,10974,DELICATESSEN,41.16237901,-74.18791596
4616,SLOATSBURG SERVICE AREA  - NORTH,10974,CONVENIENCE/GAS,41.1661864,-74.1853958
4617,SUPER 7 EXPRESS,10974,CONVENIENCE/GAS,41.156387,-74.19339798
4618,JESSIES BAGELS,10974,OTHER,41.14725371,-74.19110829
4619,SLOATSBURG SERVICE AREA  - SOUTH,10974,CONVENIENCE/GAS,41.1661864,-74.1853958
4620,HAYWARDS DELI,10974,DELICATESSEN,41.15534002,-74.19371599
4621,VALERO FOODMART,10975,GAS STATION,41.24334199,-74.17670098
4622,ROCKLAND COUNTRY CLUB,10976,OTHER,41.02479301,-73.91789597
4623,PERDOMA DELI & GROCERY,10977,DELICATESSEN,41.11799298,-74.03862002
4624,VALERO - SPRING VALLEY,10977,CONVENIENCE/GAS,41.10809001,-74.03811501
4625,EXXON - TIGER MART,10977,CONVENIENCE/GAS,41.11747598,-74.04653597
4626,FAMILY DOLLAR,10977,DISCOUNT STORE,41.12321901,-74.03930499
4627,AMIGO EXPRESS FOOD MART,10977,CONVENIENCE STORE,41.11102598,-74.04464502
4628,MAPLE FOOD MART AND DELI,10977,GROCERY SUPERMARKET,41.11744602,-74.04985403
4629,SHELL - SPRING VALLEY,10977,CONVENIENCE/GAS,41.12821999,-74.04071399
4630,SHELL - SPRING VALLEY,10977,CONVENIENCE/GAS,41.105715,-74.03303197
4631,OPEN EVERY DAY CONVENIENCE STORE & DELI,10977,DELICATESSEN,41.11021101,-74.04518498
4632,SPRING VALLEY WHOLESALE BEVERAGES,10977,LIQUOR/BEVERAGE STORE,41.11262198,-74.04397497
4633,NORTH MAIN STREET MARKET,10977,CONVENIENCE STORE,41.11277998,-74.044872
4634,BENI DELI & GROCERY,10977,DELICATESSEN,41.10471998,-74.04570097
4635,CITGO-SPRING VALLEY FOOD MART,10977,CONVENIENCE/GAS,41.11927202,-74.04235298
4636,HILLS DELI & GROCERY,10977,GROCERY SUPERMARKET,41.12057599,-74.037639
4637,7 DAYS EXPRESS,10977,CONVENIENCE STORE,41.1096616,-74.04849895
4638,HICKORY FOOD MART & DELI,10977,CONVENIENCE STORE,41.12548401,-74.03986297
4639,LA MISMA DELI & GROCERY,10977,DELICATESSEN,41.11386699,-74.04525203
4640,AIM'S WASH BAY LAUNDROMAT,10977,OTHER,41.109634,-74.04491399
4641,CROSSTOWN DELI II,10977,DELICATESSEN,41.11843701,-74.03634601
4642,SPRING VALLEY MINI MART,10977,CONVENIENCE STORE,41.11841702,-74.043391
4643,STOP N GO,10977,CONVENIENCE STORE,41.127431,-74.03991704
4644,MOBIL - SPRING VALLEY,10977,CONVENIENCE/GAS,41.10853199,-74.04225299
4645,CITGO,10977,CONVENIENCE/GAS,41.10863999,-74.04016003
4646,GUZZELS,10977,CONVENIENCE STORE,41.133168,-74.03929904
4647,MOBIL - SPRING VALLEY,10977,CONVENIENCE/GAS,41.12753498,-74.04157003
4648,7-ELEVEN-HILLCREST,10977,CONVENIENCE STORE,41.12744198,-74.04067401
4649,7-ELEVEN #24817C,10977,CONVENIENCE STORE,41.10712098,-74.05821196
4650,PATRICIO RECORDS #3,10977,OTHER,41.10639301,-74.04009901
4651,PIT STOP DELI,10977,CONVENIENCE STORE,41.10596101,-74.04003899
4652,F & F DELI GROCERY CORP,10977,CONVENIENCE STORE,41.10545101,-74.03981704
4653,AZAAN AND MOEEZ FOOD MART INC,10977,CONVENIENCE STORE,41.10786999,-74.05869099
4654,LATINO FOOD MART,10977,CONVENIENCE STORE,41.10817002,-74.04447796
4655,GREAT CHESTNUT GROCERIES & DELI,10977,DELICATESSEN,41.08346,-74.05520403
4656,ALIZEH FOOD MART,10977,CONVENIENCE STORE,41.11277399,-74.04454896
4657,MAPLE DELI,10977,DELICATESSEN,41.11729795,-74.04488415
4658,ORLANDO'S DELI,10977,DELICATESSEN,41.114998,-74.04715196
4659,LIBERTY BEER,10980,LIQUOR/BEVERAGE STORE,41.231853,-73.98622399
4660,LANE'S DELI,10980,DELICATESSEN,41.22423499,-73.99233297
4661,STONY'S FOOD N NEWS,10980,CONVENIENCE STORE,41.241161,-73.984625
4662,ULTIMATE GASOLINE,10980,CONVENIENCE/GAS,41.22267201,-73.98496302
4663,7-ELEVEN,10980,CONVENIENCE STORE,41.22565098,-73.98552703
4664,GULF-STONY POINT,10980,CONVENIENCE/GAS,41.21691201,-73.98679304
4665,MINI MART,10980,CONVENIENCE/GAS,41.220836,-74.016584
4666,STOUT STEVES 1/2 OFF CARDS,10980,STATIONERY STORE,41.22631001,-73.98547699
