,ZIPCODE,geometry,VENDOR TYPE
89,10001,POINT (986062.0194377864 213319.85834668647),STAND
90,10001,POINT (986912.6157747253 213112.24766402),GROCERY SUPERMARKET
91,10036,POINT (990059.7239573041 214719.52300245294),GROCERY SUPERMARKET
92,10036,POINT (988655.1569852616 214289.31322553082),STAND
93,10036,POINT (988192.3359481419 215152.69591357186),STAND
94,10036,POINT (987760.8152240969 216249.26481946785),GROCERY SUPERMARKET
95,10036,POINT (986896.7013951043 216577.05724315403),GROCERY SUPERMARKET
96,10036,POINT (989217.5460792914 214329.48782997567),OTHER
97,10036,POINT (986864.0135528764 216737.3477522316),GROCERY SUPERMARKET
98,10036,POINT (989473.6817990332 215003.54586452674),GROCERY SUPERMARKET
99,10036,POINT (987344.5285258599 215633.5008168125),STAND
100,10036,POINT (987954.204765673 214358.4258449196),STAND
101,10036,POINT (986372.672647186 215487.6381481493),GROCERY SUPERMARKET
102,10036,POINT (989300.4489203988 215448.02048662648),STAND
103,10036,POINT (989167.531908629 215214.82030677923),STAND
104,10036,POINT (987445.6236396014 215702.71308063352),OTHER
105,10036,POINT (989311.5204825398 215360.56182852335),CONVENIENCE STORE
106,10036,POINT (985611.0411863346 216336.47941560374),GROCERY SUPERMARKET
107,10036,POINT (988139.7102522076 215189.1345265287),STAND
108,10036,POINT (986193.1146823717 215928.47001807878),CONVENIENCE STORE
109,10036,POINT (984577.1778648762 216449.38843574392),GROCERY SUPERMARKET
110,10036,POINT (988642.7303180259 215458.8097478089),GROCERY SUPERMARKET
111,10036,POINT (989373.7966107173 215616.79620672666),STAND
112,10036,POINT (987185.2300474363 215462.2235472512),GROCERY SUPERMARKET
113,10036,POINT (986429.1963099748 215451.2113510881),CONVENIENCE STORE
114,10036,POINT (986399.7821656524 215895.70478915315),GROCERY SUPERMARKET
115,10036,POINT (987432.865672306 215832.7533989037),GROCERY SUPERMARKET
116,10036,POINT (987826.7755029757 215994.23606856063),GROCERY SUPERMARKET
117,10036,POINT (984577.1778648762 216449.38843574392),STAND
118,10036,POINT (988012.283329066 214959.5754340124),GROCERY SUPERMARKET
119,10036,POINT (988836.3113342824 214650.81708958905),GROCERY SUPERMARKET
120,10036,POINT (987234.3091045498 215990.33849868661),CONVENIENCE STORE
121,10036,POINT (985732.6699703838 216329.203165705),DELICATESSEN
122,10036,POINT (989261.3862599342 214008.87844916768),STAND
123,10036,POINT (985919.0827457038 216668.04986898077),GROCERY SUPERMARKET
124,10036,POINT (989300.4489203988 215448.02048662648),STAND
125,10036,POINT (986208.0860264903 215717.16335965774),TOBACCO RETAIL
126,10036,POINT (986624.5199984666 215345.58341461237),GROCERY SUPERMARKET
127,10036,POINT (985174.4207464717 217174.4374796433),GROCERY SUPERMARKET
128,10036,POINT (986461.4786773799 215523.39876976918),CONVENIENCE STORE
129,10036,POINT (988312.9281712959 216242.0676003324),GROCERY SUPERMARKET
130,10036,POINT (988314.158677322 215688.29154668096),GROCERY SUPERMARKET
131,10036,POINT (986745.7525070553 216303.7869239199),GROCERY SUPERMARKET
132,10036,POINT (984965.8393435722 216402.03206940566),CONVENIENCE STORE
133,10036,POINT (988538.4849317763 215536.6923453286),CONVENIENCE STORE
134,10036,POINT (987205.7298430556 215498.65820693842),GROCERY SUPERMARKET
135,10036,POINT (988871.3608871578 215120.01777065272),DELICATESSEN
136,10036,POINT (989167.531908629 215214.82030677923),GROCERY SUPERMARKET
137,10036,POINT (988239.891656152 215586.25150160273),CONVENIENCE STORE
