,ZIPCODE,Normalized_Tree_Count
0,10312,37920.897002016885
1,10314,19788.130633267
2,10306,23434.408834214595
3,10309,38201.36498157879
4,11234,13107.288038857116
5,11385,11110.77248161242
6,11357,24263.044371405096
7,11207,9228.697250844414
8,11434,14268.223283726225
9,11208,8733.185043957208
10,11413,18983.964014333273
11,11365,18328.069482826686
12,11230,9072.807549129946
13,10308,25771.403737505432
14,11375,10296.841951717599
15,11364,20785.573268114447
16,11432,11209.021345146999
17,11358,18355.72159075855
18,11236,7259.737510584251
19,10305,16420.734920710966
20,10469,10307.061335463357
21,11215,10051.839676318117
22,11422,20982.77978698696
23,11209,8953.866146848603
24,11361,21690.7636159461
25,11229,7661.290322580645
26,10301,14921.60838814976
27,11223,7488.981268155864
28,10304,14107.75384318828
29,11354,9951.302862024775
30,11691,9487.779381751207
31,11377,6220.00616387091
32,10461,11149.577637539813
33,11420,12335.533701558219
34,11210,8129.184248587233
35,10307,38670.5448354143
36,11355,6384.57172529556
37,11367,12498.503818255811
38,10465,12336.951347234124
39,11235,6773.93931433075
40,11203,6585.959518319241
41,11426,25541.14713216958
42,11221,6354.073187755509
43,10466,7380.116619767341
44,11379,13811.10985661059
45,11218,6734.91975650249
46,11233,7090.519501925469
47,11204,6116.037955373995
48,11412,13412.71880978897
49,11220,4808.908356210864
50,11414,17783.38687471317
51,11435,8604.224402666467
52,11201,8510.397616937842
53,11219,4821.685158976243
54,11362,25012.706839103175
55,11427,19948.04484550178
56,10473,7496.053805504084
57,10467,4446.963198954376
58,11368,3984.6335805774324
59,11214,4874.187354734396
60,10462,5595.052461875941
61,11212,5013.950826318174
62,11373,4150.786911790841
63,10457,5942.806712880589
64,11211,6807.315029329126
65,11004,35071.33152173913
66,10456,4569.862400715963
67,11206,4867.484295542925
68,11378,11369.210385363516
69,11105,10635.127079607651
70,11226,3651.1137074586363
71,11238,8297.617006686096
72,11228,8785.97957288765
73,11433,11119.688826865406
74,10463,2635.1552214719495
75,11222,10199.642021203359
76,10025,3847.8355924792304
77,11417,12835.23562775716
78,11231,5521.361332367849
79,11213,5850.126549835005
80,10310,14514.258289005318
81,11423,11873.822041464142
82,11694,17715.617715617715
83,11216,6520.366863465894
84,10472,5169.087949846284
85,10458,4290.46647009904
86,11418,9263.25566148551
87,11101,12900.89129275539
88,10452,4362.451382318932
89,10024,5657.798055398916
90,11369,8647.28722846049
91,11372,4944.774596314304
92,10460,5754.36739015352
93,11217,8859.756930219855
94,10303,11971.31026323573
95,11411,17726.174791392183
96,11370,3915.892685570693
97,11356,13255.48569228795
98,11374,7213.191439597707
99,10459,6576.36099478677
100,10453,3931.6283386614414
101,11366,22881.227217496962
102,10027,5102.406248401235
103,10468,4102.803353595785
104,11237,5975.473801560758
105,11429,11594.202898550724
106,11225,5073.681603481523
107,11421,7317.885887117445
108,11363,40382.436260623224
109,11428,15081.30513338293
110,11419,5961.236026692736
111,10474,21529.19143392232
112,11205,6419.452887537994
113,10014,8270.55669050051
114,10031,4537.800385897211
115,11360,13166.078110999842
116,10451,5550.5210693248755
117,10029,3126.330593654439
118,11436,12884.749210427706
119,11103,6214.364178479887
120,10302,13071.787231694532
121,10002,2785.8065309636554
122,10023,3598.726114649681
123,10032,3848.557441933132
124,10128,3831.5275884336656
125,10011,4217.891449579002
126,11232,7147.454354527285
127,10455,5131.294873725962
128,10003,3623.966498443037
129,11692,11172.161172161173
130,10035,2880.9769521843823
131,10033,3630.9041338147517
132,11106,5079.529290055606
133,10021,4324.598777014945
134,11224,3929.4354838709673
135,10009,3130.746074363355
136,10065,5711.467766520219
137,10471,8105.805682157005
138,10016,3428.194703878695
139,10475,4556.448657496763
140,11249,6467.469541097575
141,10026,5330.341270072568
142,10028,3799.705449189985
143,11416,7040.868504897141
144,10454,4684.2470506592645
145,11415,9178.515007898894
146,11102,5131.982088145181
147,10019,4086.641566982795
148,11104,6134.109927378627
149,10022,4910.21578391429
150,10034,4020.536923037626
151,10040,3801.818048887481
152,10470,9416.553595658073
153,11001,34761.663286004055
154,10030,5108.5329341317365
155,10013,4295.1581204216545
156,11693,2644.317770539269
157,10012,4432.361179766024
158,10464,7976.566020730058
159,11239,7864.989651329406
160,10001,4064.6053629589974
161,10075,3567.035670356704
162,10036,3797.307055175636
163,10010,2975.1347009805563
164,11040,36824.18050234142
165,10017,5327.302424927754
166,10039,3305.2735825699433
167,10037,4122.6153210088005
168,10018,8813.374522987462
169,10280,13186.119873817035
170,10038,1955.3510743974487
171,10007,4847.739997268879
172,10282,5653.539502295241
173,11005,4755.165581658647
174,10005,1776.2427531762673
175,10069,2034.1880341880344
176,10004,1348.8797439414723
177,11109,3343.0232558139533
178,10281,1792.3823749066466
179,10006,1760.212553968781
180,11697,735.4743809757293
181,11096,3061.224489795918
