ZIPCODE,NORMALIZED EDP CALLS,NORMALIZED_TREE_COUNT,LIQUOR_SHOPS_NORMALIZED,NORMALIZED_SMOKE,KW_POTENTIAL,NORMALIZED_RESTAURANT_COUNT,NORMALIZED_SIDEWALK_WIDTH,SIDEWALK CONDITION COMPLAINTS,STREET LIGHT CONDITION COMPLAINTS,NORMALIZED_HEIGHT,POPULATION
10281,-1.3534517905383703,-0.9852408786229804,-0.6033437515242586,-0.5780615347893798,-1.2145448237031622,-0.06850811823343543,-0.26635817282845337,-0.9702461858565351,-0.3929452579825183,7.597177258161822,8034.0
10282,0.004329100213467663,-0.4887965640623904,-0.617175528368409,-1.3337407291274037,-1.194418494891762,-0.07496028003416315,0.33024699318454676,-0.9702461858565351,-0.4941222813083747,2.856297735876583,8278.0
10301,0.7100921058446216,0.7028358801863147,-0.02374658855660167,0.0579220183199352,0.5286831639391593,-0.15949548581104134,-0.5064263133919603,0.13474161164665038,0.42048684465088754,-0.4036759694380622,80876.0
10302,0.24337566963111096,0.4649970236523439,0.6956509585238282,-0.04688061631404307,-0.24757873101115274,-0.08191302721838194,-0.5167428891221868,0.49083091284132024,0.15623461168075034,-0.4437143702634022,36246.0
10303,0.17473752905815726,0.323504326962805,-0.34083312147507583,0.1489253095173507,0.5736333425234162,-0.21282510498649235,-0.9595396485704187,-0.1748354929282951,0.2722129334435159,-0.42931607949177614,54096.0
10304,0.3541764047447443,0.5981953674085605,-0.23232318558527437,-0.08879180322481418,0.856882835922189,-0.22135098751411855,-0.9833955203345573,-0.3721031436977136,0.1326280485221202,-0.4126558651459358,83004.0
10305,0.30293753187725975,0.8955845354062297,-0.2372347623576675,0.02465249029894621,1.2791982357898772,-0.17713240507619615,-1.338192158671009,0.29833612010610533,0.17764361811884763,-0.4323639595675285,83492.0
10306,-0.25840815777172327,1.7973604599969246,-0.4454117223586114,-0.36326180740835123,2.0588765096212485,-0.17298361879702495,-0.8695783655800641,0.1607904276863039,0.2806946814000169,-0.4510115109673882,111204.0
10307,-0.3538089161658234,3.7563310079743863,-0.20336458171749372,-0.20800881963284817,-0.42711770664358256,-0.16998377890383096,-0.8717299642517854,-0.031004323804643505,0.024869328593284418,-0.4227030421678778,28192.0
10308,-0.4569910011511964,2.097837180994932,-0.49232194610875607,-0.4869410977001988,0.17627266178088277,-0.18999628046832215,-0.9500283582173253,-0.13114663049939992,0.33015616794993646,-0.44128506934073247,55224.0
