,ZIPCODE,normalized_sidewalk_width
0,00083,3.300674634030331
1,10001,3.1278460824019576
2,10002,2.742052719570326
3,10003,3.435295745714231
4,10004,2.2592788017925236
5,10005,3.2558865812606155
6,10006,3.1930132944646386
7,10007,3.330226776915068
8,10009,3.1578757409185876
9,10010,3.034493415573462
10,10011,3.1905891996741205
11,10012,2.9869907822520427
12,10013,2.940972592644279
13,10014,2.8528242604903227
14,10016,2.989392421246542
15,10017,2.9913111477051797
16,10018,2.8016127073082946
17,10019,3.0871214974622716
18,10020,4.000236785899514
19,10021,3.225202599196177
20,10022,3.019016942517372
21,10023,3.0804527581007366
22,10024,3.223215689001282
23,10025,3.190652147558802
24,10026,3.486077747035792
25,10027,3.161597034963089
26,10028,3.1031457782451017
27,10029,3.1891484820418254
28,10030,3.2393734976881636
29,10031,3.030621301647362
30,10032,2.7155359456623063
31,10033,2.735632884329811
32,10034,3.154767215336265
33,10035,2.335773156014167
34,10036,3.2015395158535145
35,10037,2.8116154858033253
36,10038,2.5810576599835686
37,10039,2.904198743156196
38,10040,3.173276881803512
39,10044,1.9686053127649767
40,10065,2.9772247204943025
41,10069,2.3370283923086816
42,10075,3.345095085475818
43,10128,3.0229317706180514
44,10280,2.7780064249500267
45,10281,2.70352753972106
46,10282,2.926453678687607
47,10301,2.6138242204850766
48,10302,2.60996935209655
49,10303,2.4445149149679546
50,10304,2.435600983800378
51,10305,2.3030284731880037
52,10306,2.4781296448026597
53,10307,2.477325683302129
54,10308,2.4480688822411087
55,10309,2.0693790039503352
56,10310,2.637962069942071
57,10312,2.506165446037299
58,10314,2.158117260528233
59,10451,2.7933184853119712
60,10452,2.698765166691366
61,10453,2.7501281101109916
62,10454,2.742650355378206
63,10455,3.098103898202888
64,10456,3.110082330382056
65,10457,3.0833479599420794
66,10458,2.872758744686833
67,10459,2.9677676461878533
68,10460,2.883696384968318
69,10461,2.710465691789898
70,10462,2.8184191715056484
71,10463,2.682465874702614
72,10464,2.0118088722793157
73,10465,2.4839539716789085
74,10466,2.9117853216449747
75,10467,2.937515884378476
76,10468,2.9682965565693165
77,10469,2.867167056881884
78,10470,2.6825511593015055
79,10471,2.333237790524046
80,10472,2.8422275520846974
81,10473,2.7699681405823844
82,10474,2.613906622036533
83,10475,2.4116794789837153
84,11001,3.2081778515828137
85,11004,2.9781970297780584
86,11005,2.6048940672149277
87,11040,3.186305652118481
88,11101,2.947243194682505
89,11102,2.9775957436772926
90,11103,2.8493418288097314
91,11104,2.88613359773221
92,11105,2.6038692948395865
93,11106,3.2472450572743075
94,11109,2.965658640720353
95,11201,2.7516435292195487
96,11203,2.834763685436534
97,11204,3.0860780169807636
98,11205,3.1861403015803376
99,11206,3.166514036320329
100,11207,2.949371977923521
101,11208,2.849820389968738
102,11209,2.4878375221668003
103,11210,2.983917821355885
104,11211,3.0117285112992285
105,11212,3.1609603139900715
106,11213,3.1468619742134454
107,11214,2.8311480722009574
108,11215,3.072483406377567
109,11216,3.3002146601785363
110,11217,3.229886577596606
111,11218,2.91872461414137
112,11219,3.0785831691620977
113,11220,2.692375618452
114,11221,3.2091040831249247
115,11222,2.838521886722883
116,11223,2.9557812933218433
117,11224,3.0091157103254305
118,11225,3.071387331439176
119,11226,3.1089154745375596
120,11228,2.9490204783210805
121,11229,2.7472243602121904
122,11230,2.974369595047276
123,11231,2.919036435281888
124,11232,3.0242944012059354
125,11233,3.1993079868775225
126,11234,2.544131455575101
127,11235,2.631033125034649
128,11236,2.6834858013574516
129,11237,3.1532478403723787
130,11238,3.4195868146828623
131,11239,2.20171686190247
132,11249,2.8992323297760065
133,11251,1.8695919335868911
134,11354,2.9233859390921397
135,11355,2.8444019929719717
136,11356,2.919340765740789
137,11357,2.67217976078709
138,11358,2.8315405152351656
139,11359,1.8883025220882215
140,11360,2.603038796860149
141,11361,2.7225839791149706
142,11362,2.5892866190894046
143,11363,2.661219779978316
144,11364,2.5972658848949806
145,11365,2.7266775573986677
146,11366,2.864587457783421
147,11367,2.4276520697648833
148,11368,2.4218816630167157
149,11369,2.546161285852205
150,11370,2.313876614515071
151,11371,1.0007196618490557
152,11372,2.905029324011954
153,11373,2.7126685818793796
154,11374,2.6673247763366947
155,11375,2.6522108485405265
156,11377,2.6759941848851008
157,11378,2.545813757570463
158,11379,2.670215910211377
159,11385,2.771824930518701
160,11411,2.6550094110023803
161,11412,2.7677091568807546
162,11413,2.67671442950775
163,11414,2.6757702882345136
164,11415,2.844820021114028
165,11416,2.7412914314453154
166,11417,2.881535437903625
167,11418,2.980564014874899
168,11419,2.786209470408789
169,11420,2.797760156309298
170,11421,2.714501338898332
171,11422,2.7944478199271554
172,11423,2.6523151512905243
173,11426,2.553724361998691
174,11427,2.5168737560593555
175,11428,2.9962642070060683
176,11429,2.7106363301997742
177,11430,1.0464514910464995
178,11432,2.821524860716536
179,11433,2.8779092954493777
180,11434,2.7872167985673078
181,11435,2.756428554654641
182,11436,2.842042169311977
183,11691,2.558496264455539
184,11692,2.5778866252241257
185,11693,2.1127385269927808
186,11694,2.4924571424579685
187,11697,1.1619911867768669
