CAMIS,DBA,ZIPCODE,Latitude,Longitude
40372631,YANKEE JZ PIZZA,10472.0,40.829178325164,-73.87570682252
40372694,CLINTON RESTAURANT,11357.0,40.793463994158,-73.81314952527
40372971,RACQUET & TENNIS CLUB,10022.0,40.758798345762,-73.972812079305
40373113,ASTRO RESTAURANT,10019.0,40.76313625147,-73.978398412976
40373118,GOLDEN DOVE DINER,10312.0,40.559012753113,-74.169439701203
40373160,KORNER PIZZERIA,11218.0,40.643376352202,-73.978026547796
40373462,VILLA BERULIA,10016.0,40.746865746167,-73.980821742973
40373500,VICTOR'S CAFE,10019.0,40.762961484036,-73.983853000701
40373597,PETES PIZZERIA & RESTAURANT,11209.0,40.631240382668,-74.027888724775
40373656,KEENS STEAKHOUSE,10018.0,40.750753089864,-73.986108122854
40373669,BuBo,10016.0,40.746047275767,-73.977869849068
40373888,IL MULINO,10012.0,40.729844320711,-73.998960872846
40373909,MCDONALD'S,11203.0,40.644916150063,-73.921588478833
40373912,THE MALT HOUSE,10012.0,40.728787588835,-73.999350555867
40373937,SHUN LEE,10023.0,40.772273899388,-73.980363099092
40374088,PONGSRI THAI RESTAURANT,10036.0,40.760513419363,-73.985817299478
40374136,TONY'S PIER RESTAURANT,10464.0,40.837658970329,-73.782920637128
40374192,ELIO'S,10028.0,40.776704064109,-73.952606878844
40374266,KASTELI II,10001.0,40.748805077672,-73.995910876922
40374277,MOLLY WEE PUB,10001.0,40.749754738358,-73.995221468286
40374395,EL CARIBE,11234.0,40.608652307729,-73.914280560816
40374415,OMEN JAPANESE CUISINE,10012.0,40.725823228456,-74.001850833128
40374711,ROSIE O'GRADY RESTAURANT,10019.0,40.762434260535,-73.982293672635
40374834,CASA BELLA,10013.0,40.717995150669,-73.998037554562
40374974,CHEZ NAPOLEON,10019.0,40.763203559325,-73.988271452718
40375108,TURKEY'S NEST TAVERN,11249.0,40.720516956735,-73.954851215736
40375286,LA VILLA DE PIZZA & RESTAURANT,11414.0,40.666089208129,-73.8519582509
40375369,OZONE PIZZERIA,11417.0,40.680681768141,-73.842638180373
40375616,ARTURO'S,10028.0,40.775452968053,-73.947477164518
40375699,GENE'S RESTURANT,10011.0,40.73493582977,-73.997185481415
40375839,COZY SOUP & BURGER,10003.0,40.729942920976,-73.992960624684
40375929,VILLA FIORITA,11214.0,40.612046726678,-73.997345555177
40376077,FONTANA FAMOUS PIZZA & GYRO,11361.0,40.757715535717,-73.783109985737
40376142,LUSARDI'S RESTAURANT,10075.0,40.772505803269,-73.955646225535
40376204,PORTOFINO,11375.0,40.718748570733,-73.840293278717
40376290,KING'S ARMS RESTAURANT,10310.0,40.630436247754,-74.106988972394
40376352,BLUE NOTE JAZZ,10012.0,40.730763819064,-74.000793788682
40376493,THE WATER CLUB,10016.0,40.740894192066,-73.972487414864
40376495,MARCO POLO RISTORANTE,11231.0,40.682282872632,-73.99592218276
40376496,MANHATTAN MONSTER,10014.0,40.733407004766,-74.002428368437
40376635,"TRIPOLI RESTAURANT, SWALLOW CAFE",11201.0,40.690303050213,-73.994645190281
40376718,PJ BERNSTEIN DELI & RESTAURANT,10021.0,40.768613074623,-73.961403469724
40376735,PJ CARNEY'S,10019.0,40.765738551729,-73.979884899094
40376944,TOMOE SUSHI,10012.0,40.727711642194,-74.000256165478
40377124,JP'S RESTAURANT,10464.0,40.857251130718,-73.790415470169
40377243,JOHN & JOE PIZZERIA & RESTAURANT,10462.0,40.854465546464,-73.865892004272
40377262,SUNSET PIZZERIA,10309.0,40.54235091781,-74.208236910242
40377294,MCDONALD'S,11385.0,40.701739099289,-73.880832224708
40377325,JACKSON HOLE,10016.0,40.746222915383,-73.977739867544
40377385,NAPOLI PIZZA,11365.0,40.733073440304,-73.804753501055
40377506,VESUVIO RESTAURANT & PIZZA,11209.0,40.63271448104,-74.027266057226
40377560,HOT POT,11413.0,40.676626506659,-73.741990586543
40377630,JOHNS CAFE & RESTAURANT,10017.0,40.751027572144,-73.971339086977
40377789,CAFE LUXEMBOURG,10023.0,40.777464653904,-73.98301540541
40378035,"DUNKIN', BASKIN ROBBINS",11367.0,40.739396352692,-73.815741155917
40378136,BROADWAY RESTAURANT,10025.0,40.7980337182,-73.969299779631
40378190,NARITA JAPANESE RESTAURANT,11375.0,40.720981864901,-73.845612730765
40378212,CUCHIFRITO,10029.0,40.798286090425,-73.940863923623
40378571,IL CANTINORI RESTAURAUNT,10003.0,40.732402237364,-73.99307221868
40378579,ANDREWS COFFEE SHOP,10018.0,40.751741613774,-73.990056458411
40378822,WEST CORK-UNION HALL,10310.0,40.638103038605,-74.109253251777
40378827,KOSHER HUT OF BROOKLYN,11223.0,40.606197891882,-73.96543762922
40378874,TERRA BLUES,10012.0,40.728268828151,-73.999357776932
40379026,FLAMINGO,11372.0,40.747933648158,-73.880915291092
40379149,MONTE'S,10012.0,40.72944358561,-74.00096335165
40379566,LONDON LENNIES,11374.0,40.72219742993,-73.86724509918
40379573,DUNKIN',10475.0,40.885779695433,-73.828375272215
40379580,COOPER TOWN DINER,10003.0,40.734752957401,-73.979948414333
40379662,MEZZALUNA,10021.0,40.771283054919,-73.959466777028
40379746,RESTUARANT NIPPON,10022.0,40.757510580115,-73.970881478995
40379890,O'HARA'S,10006.0,40.709636641851,-74.012711005921
40379920,E.A.T. CAFE,10028.0,40.777371576876,-73.961365877573
40380182,CLUB 101,10178.0,40.750985218449,-73.978485380664
40380253,RIVERDALE DINER,10463.0,40.885006299201,-73.901272221935
40380422,CARLOS PIZZA,11379.0,40.7128252087,-73.878193530685
40380432,THE BITTER END,10012.0,40.728219421756,-73.999256753632
40380457,ARRIBA ARRIBA,10019.0,40.76419717623,-73.988415675015
40380464,GEIDO RESTAURANT,11217.0,40.677792033642,-73.972899309836
40380517,BARNEY GREENGRASS,10024.0,40.787824607234,-73.974894696743
40380520,ANNAM BRAHAM RESTAURANT,11432.0,40.713358108981,-73.801774217799
40380592,MONTERO BAR & GRILL,11201.0,40.691247359648,-73.997987861076
40380628,PISA PIZZERIA,11385.0,40.70131289975,-73.888255235301
40380657,PETE'S CLAM STOP,11224.0,40.575528666625,-73.981850250554
40380660,BURRITO LOCO,10014.0,40.732012681351,-74.001403589122
40380826,FIT CAFETERIA (BUILDING A ),10001.0,40.747119757708,-73.99499068076
40380996,SMILING PIZZA,11215.0,40.667061653915,-73.981414315334
40381210,SYMPOSIUM GREEK RESTAURANT,10025.0,40.805489642083,-73.963946663755
40381420,VILLAGE YOKOCHO/ ANGEL SHARE,10003.0,40.729857562421,-73.989431930386
40381551,CLARK'S RESTAURANT,11201.0,40.697510750407,-73.993259780796
40381595,PIETROS,10017.0,40.751069173359,-73.973114812431
40381720,MISS LILY'S 7A,10009.0,40.725962055374,-73.983609449249
40382052,LATOURETTE GOLF COURSE,10306.0,40.575914408886,-74.148258680815
40382057,DYKER BEACH GOLF (GRILL ROOM),11228.0,40.617715737743,-74.019994680554
40382652,TOMMY'S PIZZA,10465.0,40.819559910671,-73.817530764489
40382802,PARNELL'S PUB,10022.0,40.756238401752,-73.965958657687
40383003,COBBLESTONE PUB,11375.0,40.715311990803,-73.832509783357
40383033,O'SULLIVAN'S PUB,11209.0,40.621275753257,-74.031962223372
40383044,PIZZA WAGON,11209.0,40.621365020169,-74.026328434867
40383067,RUSSIAN TURKISH BATHS,10009.0,40.728344489977,-73.983453717052
40383147,IL TOSCANO RISTORANTE,11363.0,40.768237135085,-73.748576694618
40383281,GABY'S PIZZA,11423.0,40.720424809649,-73.760890061607
40383284,VERDI RESTAURANT,11357.0,40.787035101942,-73.814427945733
40383464,LE BERNARDIN,10019.0,40.76133904072,-73.981900497456
40383496,THE GROTTO PIZZA,10004.0,40.705500307697,-74.012396426249
40383511,BRANDY'S PIANO BAR,10028.0,40.777135582011,-73.954061663781
40383609,REAL MADRID RESTAURANT,10303.0,40.626289740667,-74.158367858223
40383737,CANLON'S RESTAURANT,10306.0,40.565128564811,-74.126704510879
40383763,COUSIN JOHN'S CAFE AND BAKERY,11217.0,40.6753551197,-73.974861489893
40383819,LAST STOP (AI & JI) RESTAURANT,10471.0,40.889710782591,-73.898158382751
40383825,RUSSIAN SAMOVAR,10019.0,40.763104258677,-73.984192295536
40383945,PIZZA D'ORO,10314.0,40.607038390706,-74.163792577979
40384036,MCDONALD'S,11207.0,40.657669815042,-73.889932475951
40384188,LA MELA RESTAURANT,10013.0,40.719910978144,-73.997077892142
40384340,FRIEND OF A FARMER,10003.0,40.736900338471,-73.986648683307
40384458,DREAM PIZZA,11368.0,40.750340064517,-73.870112251068
40384507,IRENE'S PLACE,11222.0,40.72349055081,-73.950642573752
40384528,VESELKA RESTAURANT,10003.0,40.729086067436,-73.987303310071
40384575,WHITE CASTLE,11207.0,40.655854225219,-73.888598374474
40384662,J & R PIZZA,11229.0,40.6103551181,-73.954385766547
40384671,CHEZ JOSEPHINE,10036.0,40.758705305754,-73.993325757553
40384920,VICTORY SWEET SHOP,11105.0,40.773507282889,-73.9052363637
40385057,CAPPUCCINO CAFE,11209.0,40.629799231638,-74.028457339077
40385157,PANGEA,10003.0,40.730576349708,-73.986216980836
40385161,AUTOMATIC SLIMS,10014.0,40.736299712402,-74.008292175149
40385461,CLOISTER CAFE,10003.0,40.729566493614,-73.988165545795
40385580,LATTANZI,10036.0,40.760486373348,-73.989560612596
40385584,PIZZA GARDEN,11358.0,40.758048746394,-73.795670390096
40385587,ISLAND,10128.0,40.784953325549,-73.95580762231
40385680,EASTWOOD MANOR,10469.0,40.876469925673,-73.846067533274
40385693,"SALUMERIA BEILLESE, BIRICCHINO REST",10001.0,40.748947801474,-73.995806203675
40385774,PARK PLAZA RESTAURANT,11201.0,40.697845490794,-73.991434937772
40385852,SAM'S PLACE,10016.0,40.749428690995,-73.977201029562
40385873,RAY'S PIZZA,10019.0,40.763246611351,-73.981672553572
40385885,HUNTER'S STEAK & ALE HOUSE,11209.0,40.616568737775,-74.030904594135
40385955,LJUBO'S PIZZERIA,10461.0,40.841075593534,-73.84331264658
40386001,PRIMOLA RESTAURANT,10065.0,40.763930686163,-73.96190436458
40386058,ARIRANG HIBACHI STEAK HOUSE,10308.0,40.54937182635,-74.150682390109
40386067,COUNTRY DONUTS,10312.0,40.545221672259,-74.160779999935
40386147,JACKS FIRE DEPARTMENT,11104.0,40.747270498043,-73.924206797203
40386278,VENICE PIZZA,10462.0,40.836762474175,-73.857185789193
40386303,PIZZA PLUS,11215.0,40.665958399841,-73.982341009055
40386340,NILES RESTAURANT,10001.0,40.748799396186,-73.992204320299
40386425,TASTY'S,11385.0,40.700476771433,-73.901340978825
40386528,ERIN'S ISLE,11357.0,40.786870463695,-73.807783814748
40386556,WESTSIDE RESTAURANT,10023.0,40.776410532869,-73.982123853828
40386569,SAL AND CARMINE PIZZA,10025.0,40.798225819632,-73.969184113056
40386570,CUBBYHOLE,10014.0,40.737565293294,-74.003550764107
40386612,WHITE CASTLE,11361.0,40.760135659759,-73.770031208298
40386619,PERIYALI,10011.0,40.740205545887,-73.992205329697
40386646,CLUB METROPOLITAN,10019.0,40.765145561934,-73.979199178828
40386672,FRANK'S SOUP BOWL,10469.0,40.877302301449,-73.85949224606
40386675,COPPER KETTLE,11377.0,40.746088544574,-73.91400199377
40386722,SAN REMO PIZZA RESTAURANT,11385.0,40.700134942714,-73.906120057404
40386747,ARNO RISTORANTE,10018.0,40.753072597163,-73.987728232469
40386837,WHITE CASTLE,11208.0,40.67900429349,-73.880999193011
40386976,LUPE'S EAST L.A. KITCHEN,10013.0,40.723679483636,-74.004718930915
40386999,DUE,10075.0,40.774562177627,-73.957099887375
40387027,LA CASA DEL POLLO RESTAURANT,11372.0,40.748143118909,-73.879121203101
40387143,WHITE CASTLE,10472.0,40.824814182929,-73.870732329053
40387162,DA UMBERTO RESTAURANT,10011.0,40.739483866377,-73.995947537239
40387178,WHITE CASTLE,10458.0,40.859181358124,-73.886618831102
40387243,JIMMY MAX RESTAURANT,10314.0,40.616137572684,-74.138702432478
40387277,PECULIAR PUB,10012.0,40.728170015273,-73.999155730482
40387399,ARTURO'S PIZZA,10463.0,40.874377748672,-73.910121843831
40387528,WALNUT BUS STOP,10454.0,40.800344346175,-73.910670067703
40387754,TRATTORIA DELLA ARTE,10106.0,40.765414711283,-73.980119648247
40387825,GREEN PAVILION RESTAURANT & SPORTS LOUNGE,11218.0,40.631158973819,-73.976258045427
40387861,WESTWAY DINER,10036.0,40.759479232348,-73.99184931572
40388091,MASAWA,10027.0,40.809898713071,-73.95878570577
40388194,SOB'S,10014.0,40.728340069398,-74.005343445984
40388218,WALKER'S RESTAURANT,10013.0,40.719790027412,-74.007074374166
